name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Bernie Hanna Butter by Cherry Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Bernie Hanna Butter by Cherry Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Bernie Hanna Butter by Cherry Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Bernscotti by Cherry TopShelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Bernscotti by Cherry TopShelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Bernscotti by Cherry TopShelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Bernscotti by Cherry TopShelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Bernscotti by Cherry TopShelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Biscotti Pie by Greenfields Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Biscotti Pie by Greenfields Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Biscotti Pie by Greenfields Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Biscotti Pie by Greenfields Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Biscotti Pie by Greenfields Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Biscotti Pie by Greenfields Topshelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Blue Zlushie by Greenfields Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Blue Zlushie by Greenfields Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Blue Zlushie by Greenfields Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Blue Zlushie by Greenfields Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Blue Zlushie by Greenfields Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Blue Zlushie by Greenfields Topshelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Cake Breath #2 by Cherry TopShelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Cake Breath #2 by Cherry TopShelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Cake Breath #2 by Cherry TopShelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Cake Breath #2 by Cherry TopShelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Cake Breath #2 by Cherry TopShelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Cake Breath #2 by Cherry TopShelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Cake Breath by Cherry TopShelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Cake Breath by Cherry TopShelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Cake Breath by Cherry TopShelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Cake Breath by Cherry TopShelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Cake Breath by Cherry TopShelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Cake Breath by Cherry TopShelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Cake Dough #2 by Cherry TopShelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Cake Dough #2 by Cherry TopShelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Cake Dough #2 by Cherry TopShelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Cake Dough #2 by Cherry TopShelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Cake Dough #2 by Cherry TopShelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Cake Dough #2 by Cherry TopShelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Cake Dough by Cherry TopShelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Cake Dough by Cherry TopShelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Cake Dough by Cherry TopShelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Cake Dough by Cherry TopShelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Cake Dough by Cherry TopShelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Cake Dough by Cherry TopShelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Cap Junky by Greenfields TopShelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Cap Junky by Greenfields TopShelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Cap Junky by Greenfields TopShelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Cap Junky by Greenfields TopShelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Cap Junky by Greenfields TopShelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Cap Junky by Greenfields TopShelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Chem Dawg Diesel by Greenfields Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Chem Dawg Diesel by Greenfields Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Chem Dawg Diesel by Greenfields Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Chem Dawg Diesel by Greenfields Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Chem Dawg Diesel by Greenfields Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Chem Dawg Diesel by Greenfields Topshelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Chop Stix by Cherry Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Chop Stix by Cherry Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Chop Stix by Cherry Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Chop Stix by Cherry Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Chop Stix by Cherry Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Chop Stix by Cherry Topshelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
Dank Dough by Cherry Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Dank Dough by Cherry Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Dank Dough by Cherry Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Dank Dough by Cherry Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Dante's Inferno by Cherry Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Dante's Inferno by Cherry Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
Dante's Inferno by Cherry Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
Dante's Inferno by Cherry Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Dante's Inferno by Cherry Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
Dante's Inferno by Cherry Topshelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
DK Stomper by Greenfields Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
DK Stomper by Greenfields Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
DK Stomper by Greenfields Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
DK Stomper by Greenfields Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
DK Stomper by Greenfields Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
